customer,st,gender,education,customer lifetime value,income,monthly premium auto,number of open complaints,policy type,vehicle class,total claim amount
TT82373,California,Female,Bachelor,1093717.85,21450,138,0,Personal Auto,Sports Car,938
OH64088,California,Male,High School or Below,737556.79,33345,65,0,Corporate Auto,Four-Door Car,338
SK97780,California,Female,Bachelor,1011077.82,15752,90,0,Corporate Auto,Two-Door Car,339
IO33050,Oregon,Female,High School or Below,511941.43,40169,65,1,Personal Auto,Four-Door Car,302
XA55917,California,Female,College,853383.2,26049,113,1,Personal Auto,SUV,619
JK32620,Nevada,Male,College,222476.8,0,68,0,Personal Auto,Four-Door Car,326
RQ19236,Arizona,Male,Doctor,804280.38,55411,100,0,Personal Auto,Sports Car,259
QC47433,Oregon,Male,College,255443.71,12459,70,0,Personal Auto,Four-Door Car,336
RA93608,Oregon,Male,Bachelor,1807394,64620,76,1,Personal Auto,Two-Door Car,364
XH97711,California,Male,Bachelor,243050.66,83140,61,0,Corporate Auto,Four-Door Car,179
AU96286,Oregon,Female,Bachelor,316765.84,0,92,0,Corporate Auto,Four-Door Car,662
KC17170,Arizona,Female,Bachelor,546560.4,54422,68,0,Corporate Auto,Four-Door Car,75
ZN47335,California,Male,College,1035751.42,68309,131,0,Corporate Auto,SUV,306
EI46264,California,Male,High School or Below,253781.39,56621,65,2,Personal Auto,Four-Door Car,84
EK87864,Arizona,Female,College,282194.72,38977,70,0,Special Auto,Four-Door Car,139
GV45403,Arizona,Male,Bachelor,775712.81,0,111,0,Corporate Auto,Two-Door Car,607
QK31192,Arizona,Male,High School or Below,407913.27,0,114,0,Corporate Auto,Two-Door Car,631
LU89008,Arizona,Female,College,595554.46,0,83,0,Personal Auto,Four-Door Car,628
NS10490,Oregon,Female,Bachelor,1415861.36,83235,70,0,Personal Auto,Two-Door Car,336
KL98495,Nevada,Male,College,848723.8,0,74,0,Personal Auto,Two-Door Car,426
IU96845,Arizona,Male,College,628547.69,32390,80,0,Personal Auto,Four-Door Car,91
QL93655,Oregon,Female,High School or Below,1147348.15,66538,95,0,Personal Auto,Two-Door Car,317
PF40592,Washington,Female,College,494263.06,23285,65,0,Personal Auto,Two-Door Car,118
LZ34046,Oregon,Male,Bachelor,2359468.02,76358,66,0,Personal Auto,Four-Door Car,86
JC80093,Washington,Male,Master,257250.66,21104,66,0,Personal Auto,Four-Door Car,118
YE88490,Arizona,Female,College,538089.86,55350,67,0,Personal Auto,Four-Door Car,321
YC80498,California,Female,College,477055.09,12964,65,0,Personal Auto,Two-Door Car,362
AI85843,Arizona,Female,Master,675665.14,33288,86,2,Personal Auto,Four-Door Car,221
XD66024,Arizona,Female,College,593601.18,0,84,0,Personal Auto,Four-Door Car,980
FY51713,Arizona,Female,Bachelor,357076.05,56168,88,0,Personal Auto,Four-Door Car,614
PH26378,California,Male,College,601996.05,0,92,0,Personal Auto,Four-Door Car,662
WQ18638,Oregon,Male,High School or Below,542686.4,23105,69,0,Personal Auto,Two-Door Car,331
KY14688,Oregon,Female,Master,273031.38,36218,68,0,Personal Auto,Four-Door Car,145
TC97762,California,Female,High School or Below,498268.14,52275,62,0,Corporate Auto,Four-Door Car,374
QC87108,Oregon,Female,College,876926.68,49665,74,0,Personal Auto,Four-Door Car,355
CX12134,Nevada,Male,High School or Below,422061.35,32471,110,0,Personal Auto,Two-Door Car,528
SM73248,Arizona,Male,High School or Below,1153750.51,0,86,1,Corporate Auto,Two-Door Car,619
CK19789,California,Female,Master,588718.2,62773,73,0,Personal Auto,Four-Door Car,80
UV12583,California,Female,College,470058.38,76694,117,0,Personal Auto,SUV,561
JC11405,Oregon,Male,High School or Below,1096395.72,55687,276,0,Personal Auto,Luxury SUV,1324
KA89683,Arizona,Female,High School or Below,252317.12,0,70,0,Personal Auto,Four-Door Car,504
BG85305,Nevada,Male,Doctor,375780.47,36633,96,1,Personal Auto,Four-Door Car,460
UQ87917,Oregon,Male,High School or Below,1294173.35,77060,106,0,Personal Auto,SUV,468
XN11823,Nevada,Female,Bachelor,376446.51,92600,94,0,Corporate Auto,Two-Door Car,842
OS46571,California,Male,High School or Below,688955.7,0,66,0,Personal Auto,Four-Door Car,475
PX17116,Nevada,Male,College,362345.42,0,111,2,Corporate Auto,SUV,1171
RP19541,Arizona,Male,College,758211.38,64801,64,0,Personal Auto,Four-Door Car,268
ZR25747,Oregon,Female,College,827774.56,45257,103,0,Corporate Auto,Two-Door Car,494
NQ86532,California,Male,High School or Below,257645.56,26854,66,0,Personal Auto,Four-Door Car,475
JY27336,Oregon,Female,College,820538.79,85840,102,2,Corporate Auto,SUV,138
PB54378,Oregon,Female,Doctor,1958246.89,26463,72,0,Corporate Auto,Four-Door Car,345
SV38190,Nevada,Female,Bachelor,648152.66,30689,81,0,Personal Auto,Four-Door Car,467
CV24005,Oregon,Male,High School or Below,259931.09,29590,66,0,Corporate Auto,Two-Door Car,467
EX28656,Oregon,Female,College,983033.76,25965,253,0,Personal Auto,Luxury SUV,1214
CF57022,Oregon,Male,Bachelor,1044265.14,17269,139,0,Personal Auto,SUV,667
GM16780,Oregon,Male,College,3605753.7,90330,137,3,Corporate Auto,Sports Car,192
BX94438,California,Female,High School or Below,847003.68,0,113,0,Corporate Auto,SUV,619
RM41745,California,Female,High School or Below,827878.65,0,110,0,Personal Auto,Four-Door Car,1002
XR70252,California,Female,High School or Below,478893.26,0,67,1,Personal Auto,Two-Door Car,321
YH92099,Arizona,Female,Bachelor,308799.99,18558,80,0,Special Auto,Four-Door Car,384
SG81493,Arizona,Male,Bachelor,444373.62,46384,113,0,Corporate Auto,Four-Door Car,251
ZX23819,Oregon,Female,High School or Below,798408.65,0,72,0,Personal Auto,Two-Door Car,866
FJ54907,Oregon,Female,College,718097.1,42303,180,0,Personal Auto,Luxury SUV,1210
CU26127,California,Female,Bachelor,1565603.43,71731,130,0,Corporate Auto,SUV,599
YH60476,Oregon,Male,High School or Below,578018.22,51066,74,0,Corporate Auto,Four-Door Car,787
ZZ97035,California,Male,College,2071494.04,0,203,0,Corporate Auto,Luxury Car,2027
GE82737,Nevada,Female,Bachelor,533735.24,0,86,3,Personal Auto,Four-Door Car,619
KY21873,Arizona,Male,College,505082.62,0,69,0,Personal Auto,Two-Door Car,72
UA51318,Arizona,Female,High School or Below,511662.4,26173,68,1,Corporate Auto,Four-Door Car,449
BV55014,Oregon,Male,Bachelor,726873.7,24445,63,0,Personal Auto,Two-Door Car,302
CR92802,California,Female,Master,272535.64,36650,69,1,Special Auto,Four-Door Car,56
RD62882,Arizona,Female,Bachelor,684615.03,0,95,0,Personal Auto,Two-Door Car,456
BT30554,Arizona,Female,Bachelor,1034632.45,0,98,0,Personal Auto,Four-Door Car,470
VP57424,Nevada,Female,Bachelor,699700.86,55873,88,0,Personal Auto,Four-Door Car,299
VU19243,Arizona,Female,High School or Below,419625.77,18052,111,0,Personal Auto,Four-Door Car,699
TA82973,Oregon,Female,High School or Below,785810.98,28937,104,2,Personal Auto,SUV,117
GK71720,Oregon,Female,High School or Below,606434.4,0,86,0,Personal Auto,Four-Door Car,545
JQ56711,Oregon,Female,Master,592311.72,92163,73,0,Personal Auto,Two-Door Car,66
QP84605,Washington,Female,Bachelor,870984.53,41546,111,0,Corporate Auto,Four-Door Car,121
IB87349,California,Male,High School or Below,452850.49,70340,113,0,Special Auto,Four-Door Car,542
AW73065,Oregon,Female,High School or Below,279190.65,0,74,0,Personal Auto,Four-Door Car,532
BW80872,Washington,Male,High School or Below,443441.12,34549,111,0,Personal Auto,Four-Door Car,125
PX70175,Arizona,Male,College,799600.75,93459,99,0,Personal Auto,Four-Door Car,655
KF75098,Arizona,Male,Bachelor,512973.9,86148,65,2,Personal Auto,Four-Door Car,312
IS50283,California,Female,Bachelor,569717.52,27048,72,0,Corporate Auto,Four-Door Car,345
MY64920,Oregon,Female,College,921713.06,73259,115,0,Personal Auto,SUV,673
KN34250,Oregon,Female,College,1020892.76,35482,129,0,Corporate Auto,SUV,619
GN46207,Oregon,Female,Master,417068.73,29462,107,1,Personal Auto,SUV,513
KL57176,Oregon,Female,College,450540.58,67801,115,1,Personal Auto,SUV,23
MN94234,California,Male,High School or Below,310756.86,0,94,4,Personal Auto,Two-Door Car,451
JY90595,Arizona,Male,High School or Below,552866.5,16042,73,0,Personal Auto,Two-Door Car,350
HK26543,California,Male,High School or Below,504586.67,28056,64,1,Personal Auto,Four-Door Car,307
PN86062,California,Male,High School or Below,296272.25,16495,85,3,Corporate Auto,Four-Door Car,408
VW27730,California,Female,Master,866595.64,41163,108,0,Corporate Auto,SUV,231
SH55671,Arizona,Female,College,1141344.12,0,161,1,Personal Auto,Sports Car,772
MO56878,California,Male,Bachelor,1548843.2,33799,109,3,Corporate Auto,SUV,664
VO38365,Washington,Female,College,886114.95,90125,110,0,Corporate Auto,SUV,128
SV35618,Oregon,Female,Bachelor,593474.15,87747,147,1,Personal Auto,SUV,46
RX12347,Nevada,Male,College,354323.21,35695,90,0,Personal Auto,Four-Door Car,432
FR55658,California,Male,Master,349002.83,90985,87,0,Personal Auto,Four-Door Car,78
XS12556,California,Female,College,368309.99,0,101,0,Corporate Auto,Sports Car,564
ZU73588,California,Male,College,598977.39,66839,154,0,Personal Auto,Sports Car,739
WT43034,California,Female,High School or Below,1250084.3,0,165,0,Personal Auto,SUV,792
VM13430,Oregon,Female,Bachelor,860915.82,79090,107,0,Corporate Auto,SUV,289
TC78849,Oregon,Male,Bachelor,249745.51,24825,64,0,Personal Auto,Two-Door Car,155
VC34764,California,Male,College,701917.72,26806,63,0,Personal Auto,Four-Door Car,302
WO90953,Oregon,Female,College,538792.63,56835,67,0,Personal Auto,Two-Door Car,326
IU47468,Oregon,Female,Bachelor,616555.75,0,88,0,Special Auto,Two-Door Car,653
KO46064,California,Male,Bachelor,273020.29,46135,69,0,Personal Auto,Four-Door Car,103
RB34917,Arizona,Female,Bachelor,516211.69,0,73,0,Personal Auto,Four-Door Car,809
BI38192,Oregon,Female,High School or Below,793706.48,22862,67,0,Personal Auto,Two-Door Car,321
PU18983,Oregon,Female,High School or Below,860815.72,21450,110,2,Personal Auto,Sports Car,528
SW79912,Oregon,Male,Bachelor,263254.58,95854,65,0,Personal Auto,Two-Door Car,312
ES39217,Oregon,Female,Bachelor,778500.42,44897,99,1,Personal Auto,Four-Door Car,580
KP72427,Washington,Male,High School or Below,2163983.86,64455,108,0,Personal Auto,SUV,133
UA19178,Oregon,Female,Master,498082.5,53265,62,0,Personal Auto,Four-Door Car,238
PR53785,Arizona,Female,High School or Below,745723.78,0,198,1,Personal Auto,Luxury Car,1577
XF57481,Washington,Male,Master,1064093.93,50450,90,0,Personal Auto,Two-Door Car,135
CN90378,California,Female,High School or Below,686250.83,54780,88,3,Personal Auto,Four-Door Car,135
KI56154,Nevada,Male,High School or Below,904898.34,0,119,0,Personal Auto,Sports Car,571
UI55951,California,Male,Bachelor,554803.19,67798,69,0,Personal Auto,Four-Door Car,331
FF28650,Oregon,Male,Bachelor,831268.16,21442,118,0,Personal Auto,SUV,566
FS55302,California,Male,Bachelor,238998.1,27615,62,1,Personal Auto,Four-Door Car,297
TN79487,California,Male,Bachelor,445811.34,17622,65,1,Personal Auto,Four-Door Car,312
HG32616,Nevada,Male,High School or Below,529574.17,50200,135,0,Personal Auto,Sports Car,637
UK41984,Arizona,Female,Doctor,383960.61,0,112,2,Personal Auto,SUV,537
LZ52266,California,Female,High School or Below,373150.46,0,96,0,Personal Auto,Four-Door Car,460
PM27367,California,Female,Master,277890.37,73570,70,1,Special Auto,Two-Door Car,75
ZK21724,Oregon,Female,High School or Below,401654.2,0,111,0,Personal Auto,SUV,799
BH35482,Washington,Male,Doctor,493094.93,70412,61,0,Corporate Auto,Two-Door Car,136
QE22757,Nevada,Male,Doctor,249131.7,36631,62,0,Personal Auto,Four-Door Car,67
ON77649,Oregon,Female,College,290887.59,35895,73,0,Personal Auto,Four-Door Car,312
RN82884,Arizona,Female,College,428294.8,40864,109,1,Personal Auto,SUV,166
CQ75652,Oregon,Male,College,834162.37,0,118,0,Personal Auto,Four-Door Car,566
FF58467,Arizona,Female,Master,509078.13,93018,63,0,Personal Auto,Four-Door Car,135
BS83666,Oregon,Male,Bachelor,736618.83,70014,62,0,Corporate Auto,Four-Door Car,17
WO29605,Oregon,Female,College,243687.51,48875,61,0,Personal Auto,Two-Door Car,1
TL77607,California,Male,Bachelor,885268.87,67969,74,0,Personal Auto,Four-Door Car,197
EZ50606,Oregon,Female,High School or Below,2387547.68,0,108,0,Corporate Auto,SUV,612
OS39723,Oregon,Female,Doctor,560049.65,68665,69,0,Personal Auto,Two-Door Car,331
FN69743,California,Male,College,463654.65,26802,66,1,Corporate Auto,Two-Door Car,316
XW96958,Nevada,Male,High School or Below,757334.51,0,110,0,Corporate Auto,Four-Door Car,1193
TU92578,California,Male,College,1469663.55,45345,125,0,Personal Auto,SUV,600
TL43709,Washington,Male,Bachelors,897214.03,89689,74,0,Personal Auto,Four-Door Car,136
YE68736,California,Female,Bachelor,772484.01,32051,193,1,Personal Auto,SUV,926
OB96537,Oregon,Male,Master,594667.07,81139,74,0,Special Auto,Four-Door Car,392
EU68825,Oregon,Female,Master,800054.51,63834,100,1,Personal Auto,Sports Car,215
CC31456,Arizona,Male,Bachelor,645756.1,37548,81,0,Special Auto,Four-Door Car,160
DJ77787,Arizona,Female,High School or Below,728144.01,0,69,3,Personal Auto,Four-Door Car,371
LN26837,California,Male,High School or Below,259243.78,72421,65,0,Personal Auto,Four-Door Car,312
YI92916,Nevada,Male,Master,467842.34,83102,116,0,Corporate Auto,Four-Door Car,443
NW54906,Oregon,Male,College,1386992.71,28432,118,0,Personal Auto,SUV,612
ME77513,Nevada,Female,Master,871777.78,83707,108,0,Corporate Auto,Four-Door Car,290
UK76891,California,Female,College,523398.68,63259,65,0,Corporate Auto,Four-Door Car,316
SI26888,Nevada,Female,High School or Below,476418.97,0,67,0,Personal Auto,Four-Door Car,405
YD74948,Oregon,Female,College,247246.92,63860,62,0,Personal Auto,Four-Door Car,208
HB64268,Washington,Male,Bachelor,281369.26,43836,73,0,Personal Auto,Four-Door Car,138
BW52697,California,Female,College,550505.7,86132,68,0,Personal Auto,Two-Door Car,301
NL41409,Oregon,Female,Bachelor,260620.85,28519,66,0,Personal Auto,Two-Door Car,456
OD69005,Arizona,Female,High School or Below,1048194.38,39102,88,0,Personal Auto,Four-Door Car,152
ZZ91716,California,Female,Bachelor,325676.64,0,89,0,Personal Auto,Four-Door Car,491
UK70255,California,Female,College,3047578.05,97298,128,0,Personal Auto,Sports Car,48
QT25383,Nevada,Male,High School or Below,636490.22,41986,84,2,Personal Auto,Two-Door Car,430
AW18068,Arizona,Male,High School or Below,946850.93,0,88,0,Personal Auto,Two-Door Car,633
NS45347,Oregon,Female,College,563145.19,17291,73,0,Personal Auto,Four-Door Car,350
FV19421,California,Male,Bachelor,778099.93,0,74,0,Personal Auto,Four-Door Car,246
XW89091,California,Male,College,981652.83,37256,62,0,Personal Auto,Four-Door Car,128
YC11951,Oregon,Male,High School or Below,751913.36,96306,95,1,Corporate Auto,Four-Door Car,185
UY18770,California,Female,Bachelor,1017971.7,14290,271,0,Personal Auto,Luxury SUV,1300
RA49085,California,Female,College,277283.92,37038,71,1,Corporate Auto,Four-Door Car,9
BG84194,Oregon,Male,College,403750.18,90760,103,2,Special Auto,SUV,133
PT64580,Washington,Male,Master,419196.61,77048,103,0,Personal Auto,SUV,141
MR67738,Oregon,Female,High School or Below,267686.79,54480,67,0,Personal Auto,Four-Door Car,321
DM95829,California,Male,College,252395.96,16244,68,0,Personal Auto,Two-Door Car,623
DB75522,California,Female,College,698840.16,22436,89,0,Special Auto,Four-Door Car,427
LM34525,Washington,Female,College,874205.78,71592,72,0,Personal Auto,Four-Door Car,141
WW30771,Arizona,Male,Master,267331.96,28728,67,0,Personal Auto,Four-Door Car,321
QP65569,Arizona,Male,High School or Below,1215732.99,57449,103,0,Personal Auto,Four-Door Car,494
TN50051,California,Female,Doctor,295776.4,83318,73,0,Personal Auto,Two-Door Car,211
UO86707,Washington,Male,Bachelors,717390.94,75217,61,1,Personal Auto,Four-Door Car,147
JA41698,Nevada,Male,Bachelor,309953.8,0,102,5,Corporate Auto,SUV,862
NX18774,Oregon,Male,Bachelor,841568.46,55308,107,0,Corporate Auto,SUV,513
DA69469,Oregon,Female,College,2684312.45,36068,97,0,Personal Auto,Two-Door Car,113
CN23147,Oregon,Male,Bachelor,1305717.07,48804,112,1,Corporate Auto,Four-Door Car,537
RA68844,Oregon,Male,College,959995.02,0,131,0,Personal Auto,SUV,943
GH42026,Oregon,Male,Bachelor,853510.89,55790,111,0,Personal Auto,SUV,117
BD16530,Arizona,Female,Bachelor,829348.19,70258,69,0,Personal Auto,Four-Door Car,225
JH91579,Oregon,Female,Bachelor,684615.03,0,95,0,Personal Auto,Two-Door Car,456
WK23685,Oregon,Female,Bachelor,663685.98,47274,83,1,Corporate Auto,Four-Door Car,182
GR62267,Washington,Female,College,560908.25,44705,71,0,Personal Auto,Two-Door Car,148
PI78084,Arizona,Male,High School or Below,507732.09,0,73,0,Personal Auto,Two-Door Car,525
GF97874,Washington,Female,Master,527562.7,70446,65,0,Personal Auto,Four-Door Car,155
ZH19885,Washington,Female,High School or Below,251459.2,43860,65,0,Personal Auto,Four-Door Car,156
UK25655,Oregon,Female,Bachelor,343525.01,64348,86,0,Personal Auto,Two-Door Car,212
QR45101,Oregon,Male,Bachelor,662461.18,0,62,0,Corporate Auto,Two-Door Car,297
EL93539,California,Male,Master,575744.23,88997,72,0,Special Auto,Four-Door Car,174
EE99484,Washington,Female,High School or Below,251459.2,43860,65,0,Corporate Auto,Four-Door Car,156
DP46882,California,Female,High School or Below,288645.16,10312,78,0,Corporate Auto,Four-Door Car,486
WP41146,California,Female,High School or Below,534143.88,0,72,1,Personal Auto,Four-Door Car,345
TK60799,Arizona,Female,High School or Below,416001.81,96263,103,0,Personal Auto,SUV,1
DN29808,California,Female,College,284624.54,28919,72,0,Corporate Auto,Four-Door Car,518
SS59521,Oregon,Female,College,477025.66,0,68,1,Personal Auto,Two-Door Car,326
NG66579,Oregon,Male,Bachelor,505961.62,41869,64,0,Personal Auto,Two-Door Car,262
TC14209,Arizona,Female,High School or Below,909574.46,0,128,0,Personal Auto,SUV,921
ED50963,California,Female,High School or Below,268886.4,32808,68,1,Personal Auto,Four-Door Car,541
GP40701,California,Female,Bachelor,827763.76,79780,68,0,Personal Auto,Four-Door Car,326
CP98451,Oregon,Female,College,905793.53,91025,112,0,Personal Auto,SUV,327
NX52648,California,Female,High School or Below,380175.04,33043,95,0,Personal Auto,Two-Door Car,456
ZC32510,Arizona,Male,High School or Below,933934.16,69442,118,3,Personal Auto,Four-Door Car,1265
NG27780,Oregon,Male,College,252012.32,0,70,0,Corporate Auto,Four-Door Car,63
HN95240,Arizona,Female,College,498409.53,0,70,0,Corporate Auto,Four-Door Car,336
EB59129,Oregon,Female,Bachelor,259574.8,47234,65,0,Personal Auto,Four-Door Car,15
RA70851,Oregon,Male,High School or Below,743769.33,86863,92,0,Personal Auto,Four-Door Car,441
PM19162,Oregon,Male,Bachelor,1453678.76,25805,66,2,Personal Auto,Four-Door Car,375
MS59005,Nevada,Male,Bachelor,591330.59,43676,76,0,Personal Auto,Four-Door Car,364
SU71163,Arizona,Male,College,277166.3,59855,74,4,Personal Auto,Two-Door Car,355
BD35676,Arizona,Male,Master,2919436.64,35296,126,0,Personal Auto,SUV,452
NI44621,Oregon,Female,Master,988038.58,36576,125,1,Personal Auto,SUV,113
EW33419,California,Female,High School or Below,1511440.24,28513,100,1,Corporate Auto,SUV,480
HX44948,Oregon,Male,Bachelor,575991.08,85448,72,0,Special Auto,Four-Door Car,16
DL36983,Oregon,Female,High School or Below,849516.42,23791,110,3,Personal Auto,Two-Door Car,615
XR87264,California,Female,Bachelor,438118.42,20597,112,0,Personal Auto,Four-Door Car,615
NN99001,Arizona,Female,College,699782.74,56940,87,0,Personal Auto,Four-Door Car,512
XV95530,Oregon,Male,Bachelor,1143058.85,93210,71,0,Personal Auto,Two-Door Car,74
OL97871,Oregon,Female,Bachelor,748248.61,48992,94,1,Personal Auto,Four-Door Car,426
HQ23708,Arizona,Female,Master,859691.66,53736,71,0,Personal Auto,Two-Door Car,169
WR63188,Arizona,Male,College,785496.08,25378,66,1,Personal Auto,Four-Door Car,419
NG82219,Oregon,Female,Bachelor,258240.85,76731,64,0,Personal Auto,Four-Door Car,201
KU29408,Washington,Male,Master,907576.82,37722,116,0,Corporate Auto,Sports Car,158
RE46783,California,Female,Bachelor,411858.86,69379,103,0,Personal Auto,Two-Door Car,494
RU94434,Oregon,Male,High School or Below,1215732.99,57449,103,0,Personal Auto,Four-Door Car,494
GI82355,Arizona,Male,Bachelor,515281.96,0,68,0,Corporate Auto,Four-Door Car,326
VO26340,Nevada,Male,College,651297.65,0,93,0,Personal Auto,Two-Door Car,669
NV61299,Arizona,Female,Bachelor,2778969.24,33806,89,0,Corporate Auto,Four-Door Car,395
DX31066,Washington,Female,College,266727,94041,66,0,Personal Auto,Four-Door Car,159
CY50337,Oregon,Female,College,1092840.71,74965,90,0,Personal Auto,Four-Door Car,58
TJ20375,Arizona,Female,High School or Below,761538.13,34095,63,0,Personal Auto,Two-Door Car,302
EP72155,California,Female,College,200435.07,0,66,4,Personal Auto,Four-Door Car,316
JJ76159,California,Male,College,243468.12,96045,61,0,Corporate Auto,Four-Door Car,8
BG15419,Nevada,Female,Bachelor,1419536.03,86355,118,0,Personal Auto,Sports Car,285
AO74776,California,Female,High School or Below,942768.49,27824,118,0,Personal Auto,SUV,566
HQ82233,California,Male,High School or Below,1198242.09,42995,101,0,Personal Auto,SUV,410
OL72737,Oregon,Female,High School or Below,310278.95,21235,79,0,Personal Auto,Two-Door Car,244
ZQ59828,California,Male,High School or Below,422263.12,74585,106,0,Personal Auto,SUV,218
NZ15548,Oregon,Male,Bachelor,402381.44,41833,103,0,Personal Auto,Four-Door Car,643
XK61304,California,Female,College,529715.18,23908,70,0,Personal Auto,Four-Door Car,336
EJ44139,Oregon,Male,Bachelor,2142363.72,0,65,0,Personal Auto,Two-Door Car,312
CM94425,Arizona,Male,Bachelor,441620.62,61953,113,0,Personal Auto,SUV,497
OV54878,California,Male,Bachelor,463903.52,0,142,0,Corporate Auto,SUV,1022
JF57282,Nevada,Male,Bachelor,486354.46,0,137,0,Personal Auto,SUV,657
MY37953,Arizona,Female,Bachelor,2583090.98,73760,107,1,Personal Auto,Sports Car,230
XP64922,Oregon,Female,College,297431.49,23333,74,0,Corporate Auto,Four-Door Car,5
WL65572,California,Male,College,206445.88,0,61,0,Personal Auto,Four-Door Car,292
LN50325,Arizona,Female,High School or Below,1006460.83,20440,128,2,Corporate Auto,Sports Car,614
HJ15383,Washington,Male,Master,803240.19,27658,68,0,Personal Auto,Four-Door Car,160
KH59823,California,Male,College,548921.41,50943,139,0,Special Auto,SUV,667
YM79169,California,Male,Bachelor,261275.67,19003,71,0,Personal Auto,Two-Door Car,34
DR38127,California,Male,College,857346.39,46703,108,0,Personal Auto,Four-Door Car,678
PU42145,California,Male,Bachelor,2412750.4,14072,71,0,Personal Auto,Four-Door Car,511
KM33477,Oregon,Male,College,855038.66,21733,73,0,Corporate Auto,Four-Door Car,525
RI53167,Arizona,Male,Bachelor,230864.8,20811,61,0,Personal Auto,Four-Door Car,292
OF77789,Arizona,Female,High School or Below,425462.07,11904,61,2,Personal Auto,Two-Door Car,292
YB33445,Oregon,Female,College,898285.04,43490,114,4,Corporate Auto,SUV,174
BA17836,California,Male,High School or Below,786816.6,57340,67,0,Corporate Auto,Four-Door Car,159
JS43228,California,Male,College,770424.87,49088,97,0,Corporate Auto,Four-Door Car,698
BB11622,Nevada,Male,Master,1055217,47761,131,0,Personal Auto,SUV,232
HQ70429,Washington,Female,College,1604510.95,0,65,0,Personal Auto,Two-Door Car,163
WK88044,Arizona,Male,Bachelor,873783.75,61281,110,0,Personal Auto,SUV,79
LA80525,Nevada,Male,Bachelor,545489.07,0,82,1,Corporate Auto,Two-Door Car,393
EH16250,Arizona,Male,Bachelor,770528.33,25290,66,0,Personal Auto,Four-Door Car,382
PU41872,Arizona,Female,High School or Below,703926.24,24239,88,0,Personal Auto,Four-Door Car,48
HB85743,California,Male,Bachelor,883808.56,82664,114,3,Personal Auto,SUV,133
MM71959,Arizona,Male,Bachelor,873352.73,83210,110,0,Personal Auto,Sports Car,528
MB83663,Oregon,Female,Bachelor,959747.48,38736,81,0,Personal Auto,Two-Door Car,561
KR43119,California,Male,College,450666.02,0,66,0,Personal Auto,Four-Door Car,316
KH24214,Oregon,Male,College,1785797.23,55437,64,1,Personal Auto,Four-Door Car,445
AC40767,Washington,Male,Bachelors,249780.82,68041,6464,0,Personal Auto,Two-Door Car,165
HP55391,Oregon,Male,Master,542613.62,0,71,0,Corporate Auto,Four-Door Car,407
EG62398,California,Female,High School or Below,799814.38,29066,100,0,Personal Auto,SUV,844
VS19949,Nevada,Male,Bachelor,289762.07,54337,72,0,Personal Auto,Four-Door Car,345
AM92343,Oregon,Female,High School or Below,1159950.22,67616,96,0,Personal Auto,Four-Door Car,340
GI68556,California,Female,Bachelor,1514793.06,41082,63,0,Personal Auto,Two-Door Car,106
JT11876,Washington,Female,High School or Below,543576.78,0,10202,0,Personal Auto,Four-Door Car,626
XR64251,Nevada,Female,Master,272535.64,36650,69,1,Personal Auto,Four-Door Car,56
MK34957,Oregon,Female,College,1329771.23,50631,112,4,Special Auto,SUV,784
GP18756,California,Male,College,992704.97,19592,92,0,Personal Auto,Four-Door Car,441
AP23850,Washington,Female,High School or Below,1777154.9,0,114,0,Personal Auto,Two-Door Car,547
KQ65521,Arizona,Female,College,1826927.02,55761,115,0,Personal Auto,Sports Car,86
EJ19449,California,Female,College,272221.07,17576,71,0,Special Auto,Four-Door Car,398
QB70027,California,Female,Bachelor,708321.24,41449,89,0,Personal Auto,Four-Door Car,63
QW47320,California,Female,Bachelor,1017971.7,14290,271,0,Personal Auto,Luxury SUV,1300
KH64733,Nevada,Female,College,588950.91,62007,73,0,Personal Auto,Four-Door Car,120
ON59472,Arizona,Male,High School or Below,1577139.34,21921,206,0,Corporate Auto,Luxury SUV,1254
HP94242,Arizona,Female,Bachelor,528817.33,42621,66,0,Personal Auto,Four-Door Car,316
RV15398,Oregon,Male,College,2758055.4,0,87,1,Personal Auto,Four-Door Car,417
EA25683,Washington,Male,High School or Below,777853.23,63786,196,0,Corporate Auto,Luxury SUV,798
PW73754,California,Female,High School or Below,734186.13,0,104,3,Personal Auto,Sports Car,82
MC71942,California,Female,High School or Below,791919.7,82877,99,1,Personal Auto,Two-Door Car,22
OX72195,Arizona,Male,College,216387.02,0,63,0,Corporate Auto,Two-Door Car,302
YQ99152,Nevada,Male,High School or Below,978780.88,10475,88,1,Personal Auto,Two-Door Car,422
KI19439,Oregon,Female,High School or Below,520764.08,21952,66,0,Personal Auto,Four-Door Car,316
PM76175,Oregon,Female,Bachelor,2114727.72,49721,132,0,Corporate Auto,Sports Car,639
US45383,California,Male,College,1228076.66,88340,102,0,Personal Auto,Two-Door Car,489
GT38956,California,Female,College,244139.42,0,65,0,Personal Auto,Four-Door Car,312
SN41301,Oregon,Male,Bachelor,653556.06,0,65,0,Corporate Auto,Four-Door Car,468
BE62503,Washington,Female,College,920659.83,24589,82,0,Personal Auto,Two-Door Car,511
PA16884,California,Female,Bachelor,411858.86,69379,103,0,Personal Auto,Two-Door Car,494
NC58480,Nevada,Female,Bachelor,483820.9,73769,61,2,Personal Auto,Four-Door Car,239
NS39326,California,Female,College,462554.81,66670,114,0,Personal Auto,SUV,518
PN18507,Arizona,Male,Bachelor,1404210.3,88854,118,0,Personal Auto,Two-Door Car,715
